covariate,smd_all,smd_matched,bs_id
insect_mort,0.031175322448951,0.0232877329192315,b21
hurr_ws,0,0,b21
regionatlantic,0.125063579400243,0.0164033282738981,b21
regionlakes,0.975134853874716,0.0280177005207625,b21
regionpacific,1.71549139760185,0.0864339519815134,b21
tpa_live,0.475923725918289,0.0104368935552616,b21
distance,1.10599113766852,0.00179395932117027,b22
tree_cover,0.293549406180805,0.0876746809754203,b22
forest_type,0.314976252622391,0.0487134391237221,b22
ppt,1.43852548526448,0.131183303915454,b22
dist_flowline,0.0928588773976207,0.00550998384708432,b22
density_flowline,0.76181633427999,0.0619053500597236,b22
wet_freq_z,0.247226131597786,0.0602224543955364,b22
wet_sev_z,0.914793270963389,0.0139177218537075,b22
wet_freq,0.297991899201019,0.0655465104507939,b22
tmax_z,0.187761289280162,0.0344104663627871,b22
spei_freq,0.577846626135715,0.0196322761420027,b22
insect_defo,0.0451057409611449,0.00302053229634595,b22
